195,559	-173,85
195,826	-173,85
196,094	-173,85
196,362	-204,85
196,629	-155,85
196,897	-50,85
197,165	-3,85
197,432	37,15
197,7	-11,85
197,967	-56,85
198,235	-38,85
198,503	37,15
198,77	74,15
199,038	-27,85
199,305	-7,85
199,573	47,15
199,841	29,15
200,108	-26,85
200,376	10,15
200,643	56,15
200,911	-8,85
201,178	-28,85
201,446	-35,85
201,713	16,15
201,981	10,15
202,248	-62,85
202,516	-35,85
202,783	70,15
203,051	40,15
203,318	-46,85
203,586	-29,85
203,853	59,15
204,12	4,15
204,388	-57,85
204,655	-27,85
204,923	58,15
205,19	51,15
205,457	-69,85
205,725	-41,85
205,992	41,15
206,26	20,15
206,527	-52,85
206,794	-35,85
207,062	39,15
207,329	-7,85
207,596	-33,85
207,863	-35,85
208,131	68,15
208,398	-16,85
208,665	-65,85
208,933	-71,85
209,2	-21,85
209,467	4,15
209,734	-62,85
210,002	-35,85
210,269	47,15
210,536	-55,85
210,803	-90,85
211,07	-59,85
211,338	26,15
211,605	15,15
211,872	-62,85
212,139	-22,85
212,406	58,15
212,674	37,15
212,941	-26,85
213,208	-46,85
213,475	46,15
213,742	38,15
214,009	-61,85
214,276	-53,85
214,543	40,15
214,81	46,15
215,077	-67,85
215,345	-18,85
215,612	118,15
215,879	22,15
216,146	-47,85
216,413	-41,85
216,68	-6,85
216,947	-14,85
217,214	-78,85
217,481	-25,85
217,748	52,15
218,015	25,15
218,282	-25,85
218,549	-38,85
218,816	-20,85
219,083	33,15
219,35	-33,85
219,616	-49,85
219,883	27,15
220,15	18,15
220,417	-39,85
220,684	-8,85
220,951	82,15
221,218	52,15
221,485	-37,85
221,752	-12,85
222,018	21,15
222,285	8,15
222,552	-33,85
222,819	-6,85
223,086	60,15
223,353	34,15
223,619	-63,85
223,886	-45,85
224,153	-0,85
224,42	-24,85
224,686	-85,85
224,953	-59,85
225,22	-17,85
225,487	-44,85
225,753	-72,85
226,02	-55,85
226,287	9,15
226,554	38,15
226,82	-45,85
227,087	-25,85
227,354	25,15
227,62	33,15
227,887	-68,85
228,154	-38,85
228,42	21,15
228,687	-0,85
228,954	1,15
229,22	135,15
229,487	45,15
229,753	48,15
230,02	-57,85
230,287	-54,85
230,553	66,15
230,82	8,15
231,086	-66,85
231,353	-48,85
231,619	9,15
231,886	2,15
232,152	-84,85
232,419	-38,85
232,685	34,15
232,952	-5,85
233,218	-61,85
233,485	-54,85
233,751	-7,85
234,018	12,15
234,284	-51,85
234,551	-52,85
